component_id,name,component_type_id,component_mac475
9999,OTHER,OTHER,
C-0001,SLEEVE,CP-024,sleeve
C-0002,SLEEVE,CP-024,sleeve
C-0003,SLEEVE-FLARED,CP-024,sleeve
C-0004,NUT,CP-026,nut
C-0005,ADAPTER-STR,CP-028,adaptor
C-0006,ADAPTER-STR,CP-028,adaptor
C-0007,CONNECTOR-FLARE,CP-014,threaded
C-0008,BOSS,CP-018,boss
C-0009,BOSS,CP-018,boss
C-0010,NUT-FUEL TUBE,OTHER,other
C-0011,NUT,OTHER,other
C-0012,FLANGE,CP-001,straight
C-0013,ELBOW,CP-008,elbow
C-0014,FLANGE,CP-001,straight
C-0015,FLANGE,CP-001,straight
C-0016,ELBOW,CP-009,elbow
C-0017,ELBOW,CP-009,elbow
C-0018,ELBOW,CP-009,elbow
C-0019,FLANGE-ONE PIECE,CP-002,straight
C-0020,BOSS,CP-018,boss
C-0021,HOUSING-OIL,CP-010,elbow
C-0022,HOUSING FUEL,CP-010,elbow
C-0023,BLOCK,CP-008,elbow
C-0024,BLOCK,OTHER,other
C-0025,TUBE-LUBRICATION,OTHER,other
C-0026,TUBE,OTHER,other
C-0027,FLANGE,CP-021,float
C-0028,ELBOW-HYDRAULIC,CP-011,elbow
C-0029,FLANGE,CP-001,straight
C-0030,ELBOW,CP-015,threaded
C-0031,WASHER,OTHER,other
C-0032,TUBE,OTHER,other
C-0033,FLANGE,OTHER,other
C-0034,FLANGE,OTHER,other
C-0035,BOSS,CP-027,nut
C-0036,FLANGE-BRAZE,CP-003,straight
C-0037,LUG,OTHER,other
C-0038,FLANGE,CP-004,straight
C-0039,TUBE,OTHER,other
C-0040,ADAPTER,OTHER,other
C-0041,CONNECTOR-ORFS,CP-014,threaded
C-0042,ELBOW,CP-008,elbow
C-0043,CONNECTOR-ORFS,CP-014,threaded
C-0044,CONNECTOR-ORFS,CP-014,threaded
C-0045,ADAPTER-OIL LIN,OTHER,other
C-0046,FLANGE-ONE PIEC,CP-005,straight
C-0047,BAR,OTHER,other
C-0048,SLEEVE-BRAZE,CP-024,sleeve
C-0049,SLEEVE-ORFS,CP-024,sleeve
C-0050,SLEEVE-ORFS,CP-024,sleeve
C-0051,SLEEVE-ORFS,CP-024,sleeve
C-0052,SLEEVE-ORFS,CP-024,sleeve
C-0053,SLEEVE-ORFS,CP-024,sleeve
C-0054,BOSS,CP-018,boss
C-0055,FITTING,OTHER,other
C-0056,FITTING,OTHER,other
C-0057,NUT,OTHER,other
C-0058,SLEEVE-90DEG,CP-024,sleeve
C-0059,SLEEVE-90DEG,CP-024,sleeve
C-0060,SLEEVE-90DEG,CP-024,sleeve
C-0061,ADAPTER-O SUPPL,CP-010,elbow
C-0062,FLANGE-BRAZE,CP-003,straight
C-0063,ADAPTER-O LINE,CP-010,elbow
C-0064,PLATE,OTHER,other
C-0065,ELBOW-WELD,CP-009,elbow
C-0066,ELBOW-WELD,CP-009,elbow
C-0067,TUBE,OTHER,other
C-0068,TUBE AS,OTHER,other
C-0069,ELBOW,CP-015,threaded
C-0070,ELBOW-WELD,CP-015,threaded
C-0071,BOSS,CP-018,boss
C-0072,ELBOW WELD,CP-015,threaded
C-0073,ELBOW WELD,CP-015,threaded
C-0074,CONNECTOR-STOR,CP-014,threaded
C-0075,ELBOW-HYDRAULIC,CP-011,elbow
C-0076,ELBOW-HYDRAULIC,CP-011,elbow
C-0077,CONNECTOR-ORFS,CP-014,threaded
C-0078,COUPLING AS,CP-014,threaded
C-0079,FLANGE-ONE PIECE,CP-002,straight
C-0080,FLANGE,CP-003,straight
C-0081,FLANGE,CP-004,straight
C-0082,BOSS-ORFS,CP-018,boss
