supplier,year,supplier_annual_sales_result
S-0003,2012,4
S-0004,2013,2
S-0004,2014,1
S-0005,2013,10414
S-0005,2014,80038
S-0006,2012,1
S-0006,2013,300
S-0007,2007,60
S-0007,2009,6
S-0007,2010,12
S-0007,2011,1544
S-0008,2013,105
S-0009,2014,15
S-0011,2003,0
S-0011,2008,575
S-0011,2011,625
S-0011,2014,200
S-0012,2010,500
S-0012,2011,471
S-0013,2004,2
S-0013,2005,2850
S-0013,2006,584
S-0013,2007,1349
S-0013,2008,10683
S-0013,2009,71613376
S-0013,2010,1096593
S-0013,2011,8820137
S-0013,2012,109659
S-0013,2013,5707888
S-0013,2014,2774809
S-0013,2015,128000
S-0014,1999,0
S-0014,2000,0
S-0014,2001,88000
S-0014,2002,84
S-0014,2003,0
S-0014,2004,455
S-0014,2005,29363
S-0014,2006,0
S-0014,2007,1056183
S-0014,2008,76
S-0014,2009,21252
S-0014,2010,10056
S-0014,2011,44547
S-0014,2012,200
S-0014,2013,6300
S-0014,2014,327211
S-0015,2006,0
S-0015,2012,13
S-0018,2008,1
S-0018,2009,116
S-0018,2011,1400
S-0022,2014,1125000
S-0023,2008,1970
S-0023,2010,5000
S-0024,2013,65000
S-0025,2007,0
S-0025,2008,6
S-0026,1982,4650
S-0026,1985,550
S-0026,1987,0
S-0026,1988,0
S-0026,1989,120
S-0026,1991,650
S-0026,1992,50
S-0026,1994,600
S-0026,1995,1146
S-0026,1996,112
S-0026,1997,179321
S-0026,1998,391
S-0026,1999,369
S-0026,2000,645
S-0026,2001,1306
S-0026,2002,13430
S-0026,2003,18474
S-0026,2004,114612
S-0026,2005,20635
S-0026,2006,75723
S-0026,2007,70751
S-0026,2008,65424
S-0026,2009,2301933
S-0026,2010,29978
S-0026,2011,27284
S-0026,2012,64448
S-0026,2013,77159
S-0026,2014,356826
S-0026,2015,2747
S-0026,2016,241
S-0026,2017,173
S-0027,2013,44245
S-0027,2014,675
S-0027,2015,75
S-0028,2013,1
S-0029,2014,30
S-0030,1998,0
S-0030,2006,15000
S-0030,2007,0
S-0030,2008,11
S-0030,2010,325
S-0030,2014,113656
S-0031,2008,5000
S-0031,2009,3300
S-0031,2011,11845
S-0031,2012,19931
S-0031,2013,200008
S-0031,2014,4417
S-0033,1999,0
S-0036,2012,1
S-0039,2004,200
S-0040,2014,200000
S-0041,1999,0
S-0041,2002,0
S-0041,2003,0
S-0041,2004,0
S-0041,2005,0
S-0041,2006,7481894
S-0041,2007,39600
S-0041,2008,24930
S-0041,2009,12046
S-0041,2010,3200
S-0041,2011,1969764
S-0041,2012,869309
S-0041,2013,8985736
S-0041,2014,2347477
S-0042,2013,2511189
S-0042,2014,200386
S-0043,2007,1130
S-0043,2008,5291
S-0043,2010,1302
S-0043,2011,5450
S-0043,2012,945
S-0043,2013,16
S-0043,2014,52
S-0046,2012,20
S-0046,2014,1
S-0050,2014,7760000
S-0051,2004,10
S-0051,2011,1
S-0051,2012,6
S-0054,2001,0
S-0054,2002,42
S-0054,2004,16
S-0054,2005,0
S-0054,2006,0
S-0054,2007,549
S-0054,2008,1314
S-0054,2009,2684
S-0054,2010,9403
S-0054,2011,6356
S-0054,2012,13741
S-0054,2013,53393
S-0054,2014,12551
S-0056,2012,188
S-0058,2002,0
S-0058,2004,9180
S-0058,2005,15093
S-0058,2006,19455429
S-0058,2007,71119
S-0058,2008,20728873
S-0058,2009,839276
S-0058,2010,13227270
S-0058,2011,902662
S-0058,2012,9101995
S-0058,2013,5406158
S-0058,2014,10150020
S-0059,2012,1500
S-0059,2013,1260
S-0059,2014,76919
S-0060,2008,206
S-0060,2010,420
S-0060,2013,614
S-0061,2009,4
S-0061,2010,6290
S-0062,1991,1714
S-0062,1992,671
S-0062,1993,610
S-0062,1994,11300
S-0062,1995,815
S-0062,1996,14
S-0062,1997,30309
S-0062,1998,2059
S-0062,1999,19819
S-0062,2000,400
S-0062,2001,3447
S-0062,2002,4285
S-0062,2003,1774
S-0062,2004,32388
S-0062,2005,3658295
S-0062,2006,92212
S-0062,2007,4820
S-0062,2008,21054
S-0062,2009,497801
S-0062,2010,1247484
S-0062,2011,3723206
S-0062,2012,240881
S-0062,2013,209434
S-0062,2014,152031
S-0064,1988,55
S-0064,1989,536
S-0064,1993,5
S-0064,1994,213
S-0064,1995,749
S-0064,1996,100
S-0064,1997,38
S-0064,1998,105
S-0064,1999,2747
S-0064,2000,500
S-0064,2001,446
S-0064,2002,324
S-0064,2003,102903
S-0064,2004,20730
S-0064,2005,1167
S-0064,2006,59567
S-0064,2007,11803
S-0064,2008,21352
S-0064,2009,1198091
S-0064,2010,792
S-0064,2011,43106
S-0064,2012,174552
S-0064,2013,21394
S-0064,2014,138295
S-0066,1987,0
S-0066,1992,0
S-0066,1993,0
S-0066,1995,835
S-0066,1996,2926
S-0066,1997,1914
S-0066,1998,22348
S-0066,1999,2813
S-0066,2000,3136
S-0066,2001,110624
S-0066,2002,99234
S-0066,2003,15869
S-0066,2004,30353
S-0066,2005,845511
S-0066,2006,15431
S-0066,2007,76019
S-0066,2008,141705
S-0066,2009,441750
S-0066,2010,108832
S-0066,2011,3461977
S-0066,2012,4314394
S-0066,2013,5255633
S-0066,2014,496550
S-0066,2017,216
S-0068,2009,50
S-0068,2014,1592
S-0069,2013,1
S-0070,2002,249
S-0070,2004,903000
S-0070,2006,10175
S-0070,2007,625
S-0070,2008,267318
S-0070,2009,84376
S-0070,2011,6500
S-0070,2012,25
S-0070,2013,37482
S-0070,2014,2507
S-0072,1988,0
S-0072,1994,37
S-0072,1995,200
S-0072,1996,15
S-0072,1997,371
S-0072,1998,422
S-0072,1999,2115
S-0072,2000,6378
S-0072,2001,40541
S-0072,2002,23175
S-0072,2003,24805
S-0072,2004,9417
S-0072,2005,8442
S-0072,2006,265573
S-0072,2007,165536
S-0072,2008,253036
S-0072,2009,100882
S-0072,2010,36090
S-0072,2011,1233920
S-0072,2012,2206135
S-0072,2013,4555639
S-0072,2014,203799
S-0072,2015,576
S-0072,2016,624
S-0073,2014,185
S-0074,2002,0
S-0074,2007,3
S-0074,2013,285
S-0076,2013,45000
S-0077,2013,377
S-0078,2011,20
S-0078,2013,3
S-0080,2007,0
S-0080,2009,43
S-0080,2013,43
S-0080,2014,193
S-0081,2001,45
S-0081,2003,2545
S-0081,2004,900
S-0081,2006,988
S-0081,2007,5000
S-0081,2008,10
S-0081,2009,24031
S-0081,2010,14327
S-0081,2011,3531
S-0081,2012,4179
S-0081,2013,212498
S-0081,2014,311081
S-0087,2009,2444
S-0088,2012,4279
S-0088,2014,6048
S-0090,2005,0
S-0090,2014,28500
S-0091,2009,1
S-0092,2011,38
S-0092,2012,64352
S-0092,2013,64034
S-0092,2014,6300
S-0095,2010,400
S-0096,2006,0
S-0097,2010,9
S-0104,2011,66
S-0104,2012,101400
S-0104,2013,18278
S-0104,2014,579
S-0105,2010,14711
S-0105,2011,758
S-0105,2012,1109
S-0105,2013,7622
S-0105,2014,28651
S-0106,2014,625
S-0107,2014,2
S-0108,2014,76
S-0109,2013,106000
S-0111,2014,1996
