supplier,supplier_total_sales_result
S-0003,4
S-0004,3
S-0005,90452
S-0006,301
S-0007,1622
S-0008,105
S-0009,15
S-0011,1400
S-0012,971
S-0013,90265930
S-0014,1583727
S-0015,13
S-0018,1517
S-0022,1125000
S-0023,6970
S-0024,65000
S-0025,6
S-0026,3429748
S-0027,44995
S-0028,1
S-0029,30
S-0030,128992
S-0031,244501
S-0033,0
S-0036,1
S-0039,200
S-0040,200000
S-0041,21733956
S-0042,2711575
S-0043,14186
S-0046,21
S-0050,7760000
S-0051,17
S-0054,100049
S-0056,188
S-0058,79907075
S-0059,79679
S-0060,1240
S-0061,6294
S-0062,9956823
S-0064,1799570
S-0066,15448070
S-0068,1642
S-0069,1
S-0070,1312257
S-0072,9137728
S-0073,185
S-0074,288
S-0076,45000
S-0077,377
S-0078,23
S-0080,279
S-0081,579135
S-0087,2444
S-0088,10327
S-0090,28500
S-0091,1
S-0092,134724
S-0095,400
S-0096,0
S-0097,9
S-0104,120323
S-0105,52851
S-0106,625
S-0107,2
S-0108,76
S-0109,106000
S-0111,1996
