tube_assembly_id,quantity_range_min,quantity_range_max,price_band_count,bracket_yes_count,bracket_no_count
TA-00001,1,250,8,8,0
TA-00002,1,250,8,8,0
TA-00003,1,250,8,8,0
TA-00004,1,250,8,8,0
TA-00005,1,250,8,8,0
TA-00006,1,250,8,8,0
TA-00007,1,250,8,8,0
TA-00008,1,250,8,8,0
TA-00009,10,10,1,0,1
TA-00011,2,2,1,0,1
TA-00012,1,250,8,8,0
TA-00013,1,1,1,0,1
TA-00014,1,250,8,8,0
TA-00015,1,1,1,1,0
TA-00016,1,250,8,8,0
TA-00017,1,5,3,3,0
TA-00018,1,1,1,0,1
TA-00020,1,1,1,0,1
TA-00021,1,1,1,0,1
TA-00022,1,1,1,0,1
TA-00023,3,3,1,0,1
TA-00024,1,250,8,8,0
TA-00025,1,250,8,8,0
TA-00026,3,25,5,5,0
TA-00027,1,1,1,0,1
TA-00028,5,10,2,2,0
TA-00029,1,250,8,8,0
TA-00030,5,20,4,4,0
TA-00031,2,12,6,6,0
TA-00032,1,1,1,0,1
TA-00033,1,250,8,8,0
TA-00034,1,50,6,6,0
TA-00035,1,12,5,5,0
TA-00036,1,250,8,8,0
TA-00037,1,1,1,0,1
TA-00038,1,1,1,0,1
TA-00039,1,250,8,8,0
TA-00040,1,250,8,8,0
TA-00041,1,1,1,1,0
TA-00042,1,4,5,5,0
TA-00043,1,5,4,4,0
TA-00044,1,100,7,7,0
TA-00045,1,9,5,5,0
TA-00046,1,1,1,0,1
TA-00047,1,1,1,0,1
TA-00048,1,1,1,0,1
TA-00049,1,25,5,5,0
TA-00050,1,1,1,0,1
TA-00052,1,250,8,8,0
TA-00053,1,250,8,8,0
TA-00054,2,6,4,4,0
TA-00055,1,1,1,0,1
TA-00056,1,250,8,8,0
TA-00057,1,250,8,8,0
TA-00058,2,8,4,4,0
TA-00059,1,50,8,8,0
TA-00060,1,250,8,8,0
TA-00061,1,250,8,8,0
TA-00062,60,60,1,0,1
TA-00063,40,40,1,0,1
TA-00064,60,60,1,0,1
TA-00066,1,1,1,0,1
TA-00067,5,25,3,3,0
TA-00068,1,1,1,1,0
TA-00069,1,1,1,0,1
TA-00070,1,1,2,2,0
TA-00071,1,10,4,4,0
TA-00072,1,250,8,8,0
TA-00073,1,1,1,0,1
TA-00074,1,1,2,2,0
TA-00075,1,250,8,8,0
TA-00076,1,250,8,8,0
TA-00077,3,12,4,4,0
TA-00078,1,250,8,8,0
TA-00079,1,250,8,8,0
TA-00080,1,250,8,8,0
TA-00081,1,250,8,8,0
TA-00082,1,250,8,8,0
TA-00083,1,250,8,8,0
TA-00084,1,250,8,8,0
TA-00085,1,250,8,8,0
TA-00086,1,250,8,8,0
TA-00087,1,250,8,8,0
TA-00088,8,8,1,0,1
TA-00089,1,250,8,8,0
TA-00090,1,250,8,8,0
TA-00091,1,250,8,8,0
TA-00092,1,250,8,8,0
TA-00093,1,250,8,8,0
TA-00094,1,250,8,8,0
TA-00095,4,10,4,4,0
TA-00096,1,250,8,8,0
TA-00097,1,250,8,8,0
TA-00098,1,1,1,0,1
TA-00099,1,250,8,8,0
TA-00100,1,250,8,8,0
TA-00101,1,1,1,0,1
TA-00103,1,1,1,0,1
TA-00104,1,20,3,3,0
TA-00105,2,10,5,5,0
TA-00107,2,8,4,4,0
TA-00108,1,250,8,8,0
TA-00109,1,250,8,8,0
TA-00110,1,1,1,1,0
TA-00112,10,10,1,0,1
TA-00113,1,250,8,8,0
TA-00114,1,1,2,2,0
TA-00115,1,1,2,2,0
TA-00116,2,8,4,4,0
TA-00117,1,20,3,3,0
TA-00118,1,250,8,8,0
TA-00119,1,250,8,8,0
TA-00120,1,250,8,8,0
TA-00121,1,250,8,8,0
TA-00122,1,250,8,8,0
TA-00123,1,250,8,8,0
TA-00124,60,60,1,0,1
TA-00125,1,250,8,8,0
TA-00126,1,250,9,9,0
TA-00127,1,250,8,8,0
TA-00128,5,20,4,4,0
TA-00129,1,1,1,0,1
TA-00130,1,20,6,6,0
TA-00131,1,250,8,8,0
TA-00132,1,250,8,8,0
TA-00133,1,250,8,8,0
TA-00134,1,250,8,8,0
TA-00135,1,25,6,6,0
TA-00136,75,75,1,0,1
TA-00137,5,15,3,3,0
TA-00138,10,50,3,3,0
TA-00139,1,30,2,2,0
TA-00140,1,1,3,3,0
TA-00141,10,30,5,5,0
TA-00142,5,40,6,6,0
TA-00143,3,3,1,0,1
TA-00144,1,3,3,3,0
TA-00145,1,250,8,8,0
TA-00146,1,250,8,8,0
TA-00147,1,250,8,8,0
TA-00148,1,250,8,8,0
TA-00149,1,250,8,8,0
TA-00150,1,250,8,8,0
TA-00152,1,5,5,5,0
TA-00153,1,250,8,8,0
TA-00154,5,20,4,4,0
TA-00156,1,5,5,5,0
TA-00157,1,250,8,8,0
TA-00158,1,250,8,8,0
TA-00159,1,250,8,8,0
TA-00160,1,250,8,8,0
TA-00161,1,250,8,8,0
TA-00162,3,10,3,3,0
TA-00163,2,6,3,3,0
TA-00164,1,1,1,0,1
TA-00165,1,1,1,1,0
TA-00166,1,1,1,0,1
TA-00167,1,1,1,1,0
TA-00168,40,40,1,0,1
TA-00169,25,25,1,0,1
TA-00170,1,250,8,8,0
TA-00171,1,250,8,8,0
TA-00172,1,250,8,8,0
TA-00173,1,250,8,8,0
TA-00174,1,250,8,8,0
TA-00175,1,250,8,8,0
TA-00176,1,250,8,8,0
TA-00177,1,250,8,8,0
TA-00178,1,1,2,2,0
TA-00179,1,250,8,8,0
TA-00180,1,1,1,0,1
TA-00181,3,15,4,4,0
TA-00182,8,20,5,5,0
TA-00183,10,25,4,4,0
TA-00184,1,250,8,8,0
TA-00185,1,250,8,8,0
TA-00186,1,250,8,8,0
TA-00187,1,1,1,0,1
TA-00188,4,16,4,4,0
TA-00189,1,250,8,8,0
TA-00190,1,250,8,8,0
TA-00191,1,250,8,8,0
TA-00192,1,250,8,8,0
TA-00193,10,20,3,3,0
TA-00198,1,250,8,8,0
TA-00199,1,250,10,10,0
TA-00201,1,1,1,1,0
TA-00202,1,1,1,0,1
TA-00203,1,250,8,8,0
TA-00204,1,8,5,5,0
TA-00205,1,250,8,8,0
TA-00206,1,4,5,5,0
TA-00207,1,1,2,2,0
TA-00208,1,1,1,1,0
TA-00209,1,1,1,0,1
TA-00210,1,1,1,1,0
