component_id,name,component_type_id,component_mac475,mac475_weight,uniqueness,orientation,overall_length
NONE,NONE,NONE,NONE,0,N,N,0
9999,OTHER,OTHER,0,0.24,N,N,0
C-0001,SLEEVE,CP-024,sleeve,0.013,N,N,17.3
C-0002,SLEEVE,CP-024,sleeve,0.005,N,N,11.2
C-0003,SLEEVE-FLARED,CP-024,sleeve,0.014,N,N,19.3
C-0004,NUT,CP-026,nut,0.014,N,N,17
C-0005,ADAPTER-STR,CP-028,adaptor,0.206,N,N,58.4
C-0006,ADAPTER-STR,CP-028,adaptor,0.083,N,N,34.8
C-0007,CONNECTOR-FLARE,CP-014,threaded,0.028,N,N,24.4
C-0008,BOSS,CP-018,boss,0.032,Y,Y,0
C-0009,BOSS,CP-018,boss,0.033,N,Y,0
C-0010,NUT-FUEL TUBE,OTHER,other,0.01,N,N,0
C-0011,NUT,OTHER,other,0.012,N,N,0
C-0012,FLANGE,CP-001,straight,0.788,N,Y,40
C-0013,ELBOW,CP-008,elbow,8.89,N,Y,185
C-0014,FLANGE,CP-001,straight,0.339,N,Y,38
C-0015,FLANGE,CP-001,straight,0.788,N,Y,40
C-0016,ELBOW,CP-009,elbow,1.172,N,Y,69
C-0017,ELBOW,CP-009,elbow,1.245,N,Y,69
C-0018,ELBOW,CP-009,elbow,1.863,N,Y,80
C-0019,FLANGE-ONE PIECE,CP-002,straight,1.533,N,Y,28
C-0020,BOSS,CP-018,boss,0.07,Y,Y,0
C-0021,HOUSING-OIL,CP-010,elbow,0.903,Y,Y,70
C-0022,HOUSING FUEL,CP-010,elbow,0.103,Y,Y,39
C-0023,BLOCK,CP-008,elbow,1.297,N,Y,58.5
C-0024,BLOCK,OTHER,other,0.509,N,N,0
C-0025,TUBE-LUBRICATION,OTHER,other,0.15,N,N,0
C-0026,TUBE,OTHER,other,0.032,N,N,0
C-0027,FLANGE,CP-021,float,2.23,N,Y,0
C-0028,ELBOW-HYDRAULIC,CP-011,elbow,1.633,N,Y,100
C-0029,FLANGE,CP-001,straight,0.286,N,Y,28
C-0030,ELBOW,CP-015,threaded,0.914,N,Y,38.5
C-0031,WASHER,OTHER,other,0.038,N,N,0
C-0032,TUBE,OTHER,other,4.485,N,N,0
C-0033,FLANGE,OTHER,other,1.662,N,N,0
C-0034,FLANGE,OTHER,other,0.424,N,N,0
C-0035,BOSS,CP-027,nut,0.009,N,N,12
C-0036,FLANGE-BRAZE,CP-003,straight,1.85,N,Y,28
C-0037,LUG,OTHER,other,0.081,N,N,0
C-0038,FLANGE,CP-004,straight,0.169,N,Y,28
C-0039,TUBE,OTHER,other,1.953,N,N,0
C-0040,ADAPTER,OTHER,other,1.693,N,N,0
C-0041,CONNECTOR-ORFS,CP-014,threaded,0.12,N,N,28
C-0042,ELBOW,CP-008,elbow,0.357,N,Y,33
C-0043,CONNECTOR-ORFS,CP-014,threaded,0.09,N,N,38
C-0044,CONNECTOR-ORFS,CP-014,threaded,0.182,N,N,30.5
C-0045,ADAPTER-OIL LIN,OTHER,other,0.215,N,N,0
C-0046,FLANGE-ONE PIEC,CP-005,straight,0.38,N,Y,28
C-0047,BAR,OTHER,other,0.233,N,N,0
C-0048,SLEEVE-BRAZE,CP-024,sleeve,0.006,N,N,9.5
C-0049,SLEEVE-ORFS,CP-024,sleeve,0.012,N,N,9.5
C-0050,SLEEVE-ORFS,CP-024,sleeve,0.015,N,N,10.5
C-0051,SLEEVE-ORFS,CP-024,sleeve,0.033,N,N,14
C-0052,SLEEVE-ORFS,CP-024,sleeve,0.041,N,N,15.5
C-0053,SLEEVE-ORFS,CP-024,sleeve,0.079,N,N,15.5
C-0054,BOSS,CP-018,boss,0.18,Y,Y,0
C-0055,FITTING,OTHER,other,0.002,N,N,0
C-0056,FITTING,OTHER,other,0.004,N,N,0
