component_id,component_type_id,component_mac475,mac475_weight,uniqueness,orientation,overall_length,adaptor_adaptor_angle,adaptor_overall_length,adaptor_end_form_id_1,adaptor_connection_type_id_1,adaptor_length_1,adaptor_thread_size_1,adaptor_thread_pitch_1,adaptor_nominal_size_1,adaptor_end_form_id_2,adaptor_connection_type_id_2,adaptor_length_2,adaptor_thread_size_2,adaptor_thread_pitch_2,adaptor_nominal_size_2,adaptor_hex_size,adaptor_unique_feature,adaptor_orientation,adaptor_weight,boss_type,boss_connection_type_id,boss_outside_shape,boss_base_type,boss_height_over_tube,boss_bolt_pattern_long,boss_bolt_pattern_wide,boss_groove,boss_base_diameter,boss_shoulder_diameter,boss_unique_feature,boss_orientation,boss_weight,elbow_bolt_pattern_long,elbow_bolt_pattern_wide,elbow_extension_length,elbow_overall_length,elbow_thickness,elbow_drop_length,elbow_elbow_angle,elbow_mj_class_code,elbow_mj_plug_class_code,elbow_plug_diameter,elbow_groove,elbow_unique_feature,elbow_orientation,elbow_weight,float_bolt_pattern_long,float_bolt_pattern_wide,float_thickness,float_orientation,float_weight,hfl_hose_diameter,hfl_corresponding_shell,hfl_coupling_class,hfl_material,hfl_plating,hfl_orientation,hfl_weight,nut_hex_nut_size,nut_seat_angle,nut_length,nut_thread_size,nut_thread_pitch,nut_diameter,nut_blind_hole,nut_orientation,nut_weight,other_weight,sleeve_connection_type_id,sleeve_length,sleeve_intended_nut_thread,sleeve_intended_nut_pitch,sleeve_unique_feature,sleeve_plating,sleeve_orientation,sleeve_weight,straight_bolt_pattern_long,straight_bolt_pattern_wide,straight_head_diameter,straight_overall_length,straight_thickness,straight_mj_class_code,straight_groove,straight_unique_feature,straight_orientation,straight_weight,tee_bolt_pattern_long,tee_bolt_pattern_wide,tee_extension_length,tee_overall_length,tee_thickness,tee_drop_length,tee_mj_class_code,tee_mj_plug_class_code,tee_groove,tee_unique_feature,tee_orientation,tee_weight,threaded_adaptor_angle,threaded_overall_length,threaded_hex_size,threaded_end_form_id_1,threaded_connection_type_id_1,threaded_length_1,threaded_thread_size_1,threaded_thread_pitch_1,threaded_nominal_size_1,threaded_end_form_id_2,threaded_connection_type_id_2,threaded_length_2,threaded_thread_size_2,threaded_thread_pitch_2,threaded_nominal_size_2,threaded_end_form_id_3,threaded_connection_type_id_3,threaded_length_3,threaded_thread_size_3,threaded_thread_pitch_3,threaded_nominal_size_3,threaded_end_form_id_4,threaded_connection_type_id_4,threaded_length_4,threaded_thread_size_4,threaded_thread_pitch_4,threaded_nominal_size_4,threaded_unique_feature,threaded_orientation,threaded_weight
NONE,NONE,NONE,0.0,N,N,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,OTHER,0,0.24,N,N,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0001,CP-024,sleeve,0.013000000000000001,N,N,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-001,17.3,1.062,12.0,N,N,N,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0002,CP-024,sleeve,0.005,N,N,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-001,11.2,0.5,20.0,N,N,N,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0003,CP-024,sleeve,0.013999999999999999,N,N,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-001,19.3,1.187,12.0,N,N,N,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0004,CP-026,nut,0.013999999999999999,N,N,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88,37.0,17.0,.500,20.0,20.0,NONE,N,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0005,CP-028,adaptor,0.20600000000000002,N,N,58.4,90.0,58.4,A-001,B-001,65.5,1.3119999999999998,12.0,8.73,A-001,B-004,8.73,1.0,11.5,9.52,34.93,N,N,0.20600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0006,CP-028,adaptor,0.083,N,N,34.8,90.0,34.8,A-001,B-001,65.5,0.4370000000000001,20.0,8.73,A-001,B-005,8.73,0.75,16.0,9.52,22.2,N,N,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-0007,CP-014,threaded,0.027999999999999997,N,N,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,24.4,12.7,A-001,B-001,37.3,0.4370000000000001,20.0,25.4,A-004,NONE,35.5,1.187,12.0,6.35,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.027999999999999997
C-0008,CP-018,boss,0.032,Y,Y,0.0,,,,,,,,,,,,,,,,,,,Boss,B-005,Round,Flat Bottom,17.0,77.8,42.9,N,22.0,22.36,Y,Y,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
