component_id,elbow_component_type_id,elbow_bolt_pattern_long,elbow_bolt_pattern_wide,elbow_extension_length,elbow_overall_length,elbow_thickness,elbow_drop_length,elbow_elbow_angle,elbow_mj_class_code,elbow_mj_plug_class_code,elbow_plug_diameter,elbow_groove,elbow_unique_feature,elbow_orientation,elbow_weight
C-0013,CP-008,152.4,92.08,105.0,185.0,113.0,75.0,90.0,,,,Yes,No,Yes,8.89
C-0016,CP-009,57.2,27.8,42.0,69.0,44.0,24.0,90.0,,,,No,No,Yes,1.172
C-0017,CP-009,57.2,27.8,42.0,69.0,47.0,26.0,90.0,,,,Yes,No,Yes,1.245
C-0018,CP-009,66.6,31.8,50.0,80.0,57.0,31.5,90.0,,,,Yes,No,Yes,1.8630000000000002
C-0021,CP-010,75.0,,31.5,70.0,25.0,12.5,90.0,,,,No,Yes,Yes,0.903
C-0022,CP-010,39.41,,24.0,39.0,7.0,9.0,90.0,,,,Yes,Yes,Yes,0.10300000000000001
C-0023,CP-008,52.4,26.2,20.4,58.5,61.3,44.4,125.0,,,,Yes,No,Yes,1.297
C-0028,CP-011,58.7,30.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,No,No,Yes,1.633
C-0042,CP-008,38.1,17.48,16.5,33.0,34.0,17.5,90.0,,,,Yes,No,Yes,0.35700000000000004
C-0061,CP-010,38.07,,37.0,66.3,20.3,9.5,90.0,,,,Yes,Yes,Yes,0.2
C-0063,CP-010,44.45,,38.77,31.0,48.0,35.0,90.0,,,,Yes,Yes,Yes,0.22699999999999998
C-0065,CP-009,47.63,22.23,35.5,56.0,34.0,18.0,90.0,,,,Yes,No,Yes,0.561
C-0066,CP-009,47.6,22.2,35.5,56.0,38.0,20.5,90.0,,,,Yes,No,Yes,0.614
C-0075,CP-011,52.4,26.2,50.1,78.0,46.0,22.0,,MJ-003,Threaded,,No,No,Yes,1.09
C-0076,CP-011,58.7,30.2,53.1,85.5,53.0,25.5,,MJ-003,Threaded,,No,No,Yes,1.494
C-0090,CP-011,52.4,26.2,50.1,94.0,46.0,22.0,,MJ-003,Threaded,,Yes,No,Yes,1.159
C-0094,CP-010,57.13,,41.5,65.5,35.0,22.3,90.0,,,,Yes,Yes,Yes,0.61
C-0104,CP-008,52.4,26.2,50.0,78.5,44.0,22.0,90.0,,,,No,No,Yes,1.496
C-0105,CP-008,66.68,31.75,70.0,100.0,80.0,51.0,90.0,,,,Yes,No,Yes,9.6
C-0106,CP-008,66.7,31.8,70.0,100.0,80.0,51.0,90.0,,,,No,No,Yes,9.6
C-0107,CP-008,50.8,23.8,40.0,70.0,19.0,28.0,90.0,,,,No,No,Yes,0.682
C-0140,CP-010,66.68,,30.12,54.12,10.0,17.17,90.0,,,,Yes,Yes,Yes,0.28
C-0143,CP-011,106.38,61.93,76.9,153.0,115.0,56.5,,MJ-003,MJ-006,,Yes,Yes,Yes,9.5
C-0152,CP-008,79.38,36.5,62.5,110.0,80.0,37.0,90.0,,,,No,Yes,Yes,4.987
C-0160,CP-009,50.8,23.8,39.0,63.0,36.0,18.0,90.0,,,,Yes,No,Yes,1.004
C-0163,CP-011,52.4,26.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,No,No,Yes,1.415
C-0169,CP-008,106.38,61.93,125.0,190.55,127.7,100.0,90.0,,,,Yes,No,Yes,9.805
C-0175,CP-011,58.7,30.2,53.1,84.0,53.0,25.5,,MJ-003,Threaded,,Yes,No,Yes,1.347
C-0187,CP-008,57.2,27.8,51.0,85.0,21.0,34.0,90.0,,,,No,No,Yes,1.17
C-0188,CP-008,69.85,88.9,70.5,127.0,67.8,43.4,90.0,,,,No,No,Yes,1.5
C-0192,CP-008,58.72,30.18,44.45,77.2,51.0,25.5,90.0,,,,Yes,No,Yes,1.433
C-0207,CP-011,52.4,26.2,53.1,88.0,53.0,25.5,,MJ-003,Threaded,,No,No,Yes,1.304
C-0238,CP-011,47.6,22.2,50.1,94.0,46.0,22.0,,MJ-003,MJ-005,,No,No,Yes,1.121
C-0254,CP-010,63.5,,44.8,43.0,10.0,30.0,90.0,,,,Yes,Yes,Yes,0.486
C-0259,CP-008,88.9,50.8,54.5,82.5,16.0,68.0,104.5,,,,Yes,No,Yes,1.8359999999999999
C-0266,CP-008,77.77,42.88,45.0,85.0,85.0,45.0,90.0,,,,No,No,Yes,4.308
C-0273,CP-008,47.6,22.2,50.0,78.0,44.0,22.0,90.0,,,,No,No,Yes,1.181
C-0284,CP-011,69.9,35.7,57.9,108.0,59.0,28.5,,MJ-003,MJ-005,,No,No,Yes,2.258
