component_id,nut_component_type_id,nut_hex_nut_size,nut_seat_angle,nut_length,nut_thread_size,nut_thread_pitch,nut_diameter,nut_blind_hole,nut_orientation,nut_weight
C-1621,CP-025,20.64,,17.0,.687,16.0,,,No,0.015
C-1624,CP-025,34.92,,26.5,1.187,12.0,,,No,0.035
C-1623,CP-025,28.58,,23.5,1.000,14.0,,,No,0.044000000000000004
C-1622,CP-025,23.81,,20.0,.812,16.0,,,No,0.036000000000000004
C-1625,CP-025,41.28,,27.5,1.437,12.0,,,No,0.129
C-1626,CP-025,47.63,,27.5,1.687,12.0,,,No,0.154
C-1620,CP-025,17.46,,15.0,.562,18.0,,,No,0.016
C-1867,CP-025,57.15,,27.5,2.000,12.0,,,No,0.222
C-2029,CP-025,23.81,,20.0,.812,16.0,,,No,0.034
C-0579,CP-025,24.0,,20.0,.812,16.0,,,No,0.157
C-0580,CP-025,36.0,,26.5,1.187,12.0,,,No,0.109
C-0134,CP-025,17.46,,15.0,.562,18.0,,,No,0.016
C-0390,CP-025,23.81,,21.0,.812,16.0,,,No,0.034
C-2027,CP-025,34.92,,26.5,1.187,12.0,,,No,0.096
C-0337,CP-025,20.64,,16.0,.687,16.0,,,No,0.022000000000000002
C-2030,CP-025,20.64,,17.0,.687,16.0,,,No,0.023
C-2025,CP-025,47.63,,27.5,1.687,12.0,,,No,0.153
C-1760,CP-025,41.28,,27.79,1.437,12.0,,,No,0.124
C-2028,CP-025,28.58,,24.0,1.000,14.0,,,No,0.052000000000000005
C-0102,CP-025,24.0,,20.0,.812,16.0,,,No,0.027000000000000003
C-1059,CP-025,28.58,,24.0,1.000,14.0,,,No,0.052000000000000005
C-0097,CP-025,22.0,,17.0,.687,16.0,,,No,0.027000000000000003
C-2026,CP-025,41.28,,27.5,1.437,12.0,,,No,0.128
C-0095,CP-025,30.0,,23.5,1.000,14.0,,,No,0.046
C-0261,CP-025,47.62,,27.8,1.687,12.0,,,No,0.153
C-0004,CP-026,15.88,37.0,17.0,.500,20.0,,,No,0.013999999999999999
C-1202,CP-026,22.22,45.0,41.28,.750,16.0,,,No,0.045
C-1442,CP-026,57.15,37.0,36.1,1.875,12.0,,,No,0.34299999999999997
C-1421,CP-026,25.4,37.0,24.9,.875,14.0,,,No,0.046
C-0448,CP-026,22.23,37.0,21.6,.750,16.0,,,No,0.032
C-0336,CP-026,25.4,37.0,24.6,.875,14.0,,,No,0.045
C-0308,CP-026,25.4,,24.6,.875,14.0,,,No,0.037000000000000005
C-1952,CP-026,22.23,45.0,28.448,.750,16.0,,,No,0.045
C-1845,CP-026,14.29,37.0,15.8,.437,20.0,,,No,0.012
C-1577,CP-026,34.92,37.0,27.4,1.187,12.0,,,No,0.091
C-1384,CP-026,31.75,37.0,25.9,1.062,12.0,,,No,0.07400000000000001
C-1200,CP-026,14.29,45.0,23.81,.437,20.0,,,No,0.025
C-1199,CP-026,19.05,,52.4,.625,18.0,,,No,0.023
C-0444,CP-026,38.1,37.0,28.7,1.312,12.0,,,No,0.111
C-0831,CP-026,50.8,37.0,31.2,1.625,12.0,,,No,0.255
C-1848,CP-026,31.75,37.0,26.2,1.062,12.0,,,No,0.083
C-1243,CP-026,17.46,37.0,18.5,.562,18.0,,,No,0.019
C-1927,CP-027,,,35.0,M10,1.5,20.0,No,No,0.07
C-1964,CP-027,,,20.0,M10,1.5,20.0,No,No,0.04
C-1969,CP-027,,,45.0,M10,1.5,20.0,No,No,0.09
C-1966,CP-027,,,40.0,M12,1.75,10.5,No,No,0.126
C-1963,CP-027,,,25.0,M10,1.5,20.0,No,No,0.05
C-1694,CP-027,,,40.0,.375,16.0,30.0,No,No,0.2
C-1318,CP-027,,,39.0,M10,1.5,20.0,Yes,No,
C-0720,CP-027,,,90.0,M12,1.75,25.0,No,No,0.222
C-0315,CP-027,,,40.0,.375,16.0,30.0,No,No,0.203
C-1316,CP-027,,,13.0,.375,16.0,19.0,No,No,0.021
C-0345,CP-027,,,23.0,M8,1.25,19.0,No,No,0.04
C-1980,CP-027,,,25.0,M10,1.5,25.0,No,No,0.084
C-1793,CP-027,,,30.0,M10,1.5,25.0,No,No,0.10099999999999999
C-1580,CP-027,,,20.574,.375,16.0,15.875,No,No,0.021
C-0827,CP-027,,,1.0,.312,18.0,0.625,No,No,0.03
C-1968,CP-027,,,30.0,M10,1.5,20.0,No,No,0.059000000000000004
C-1967,CP-027,,,25.0,M10,1.5,25.0,No,No,0.085
C-0321,CP-027,,,15.0,M8,1.25,16.0,No,No,0.02
C-1320,CP-027,,,15.0,M6,1.0,12.0,No,No,0.011000000000000001
C-1965,CP-027,,,58.5,M10,1.5,20.0,No,No,0.11
C-0035,CP-027,,,12.0,.250,20.0,12.0,No,No,0.009000000000000001
C-1530,CP-027,,,22.225,.500,13.0,25.4,No,No,0.067
C-1962,CP-027,,,21.0,M10,1.5,25.0,No,No,0.071
