component_id,other_weight
C-1385,0.014
C-1386,0.005
C-1369,0.003
C-0422,0.003
C-1817,0.014
C-1374,0.023
C-1375,0.041
C-1439,0.045
C-1355,0.033
C-0958,0.095
C-0562,0.173
C-1850,0.219
C-0227,0.07
C-1425,0.085
C-1476,0.032
C-1860,0.18
C-0674,0.324
C-0751,0.68
C-0057,0.035
C-1960,0.227
C-1619,0.001
C-1745,0.072
C-1838,0.376
C-1554,0.045
C-0962,0.55
C-0045,0.215
C-0092,0.09
C-1474,0.022
C-1672,0.003
C-1481,0.058
C-1359,0.025
C-0577,0.157
C-1677,0.024
C-1595,0.03
C-0365,0.125
C-1214,0.001
C-1216,0.005
C-0578,0.025
C-0950,0.306
C-0855,0.002
C-0442,0.395
C-0617,0.17
C-0774,0.062
C-1058,0.014
C-0552,0.177
C-1954,0.068
C-0752,0.941
C-1898,0.022
C-0953,0.144
C-0957,0.127
C-1268,0.022
C-1477,
C-1398,0.56
C-1478,0.05
C-0993,0.499
C-0655,0.162
C-1403,0.003
C-0844,0.145
C-1533,0.014
C-0366,0.112
C-1502,0.418
C-1756,0.025
C-1564,0.197
C-1950,0.045
C-1211,0.175
C-1874,0.016
C-1213,0.001
C-0139,1.548
C-1215,0.005
C-1379,0.025
C-1688,0.044
C-1491,0.03
C-0377,0.064
C-1521,1.298
C-1402,1.2
C-0681,0.096
C-0675,0.323
C-0108,0.13
C-2046,1.2
C-1550,0.236
C-0915,0.006
C-0581,0.123
C-1080,0.592
C-1183,1.482
C-1668,1.33
C-0424,0.009
C-0120,0.029
C-0064,0.952
C-0762,0.453
C-0710,1.303
C-0952,0.213
C-0642,0.846
C-0939,0.77
C-0955,0.623
C-1095,9.97
C-1109,0.873
C-1132,0.036
C-1187,0.955
C-0863,2.178
C-1172,0.246
C-1248,0.018
C-0772,1.938
C-0441,
C-0130,0.49
C-1254,0.2
C-1356,0.025
C-1497,0.103
C-1499,2
C-0368,0.442
C-1483,
C-1735,0.15
C-0249,0.229
C-0314,0.25
C-0378,0.094
C-1993,0.221
C-0144,0.061
C-1859,0.55
C-1232,0.032
C-0987,0.48
C-0989,4.073
C-0964,0.065
C-0824,0.045
C-1037,0.043
C-0923,0.102
C-1112,0.146
C-1814,0.001
C-0168,0.418
C-0640,0.123
C-0656,0.068
C-0996,1.074
C-0225,0.07
C-1567,0.022
C-1217,0.077
C-0085,0.079
C-0597,0.206
C-0248,0.248
C-1978,0.03
C-1480,0.059
C-1220,0.275
C-2045,0.74
C-1548,0.363
C-0121,0.227
C-0859,1.782
C-0124,0.143
C-0347,0.002
C-0864,0.018
C-0890,0.41
C-1669,0.002
C-0340,0.29
C-0636,0.094
C-1406,0.148
C-1511,0.035
C-1832,0.146
C-0203,0.295
C-0171,0.234
C-0954,0.567
C-1013,0.364
C-1097,0.594
C-0112,0.901
C-1141,0.41
C-1121,0.49
C-0031,0.038
C-1019,0.005
C-0376,0.124
C-1676,
C-0783,1.303
C-0129,
C-0011,0.012
C-1436,0.021
C-1311,0.005
C-1871,1.34
C-1223,0.008
C-0707,5.542
C-1512,0.163
C-0813,0.001
C-1689,0.124
C-1382,0.025
C-0717,0.34
C-1941,0.035
C-0975,0.18
C-0194,4.1
C-0749,0.106
C-0329,6.8
C-1751,0.508
C-0815,
C-0438,
C-0522,0.022
C-1490,1
C-0196,5.7
C-0100,3.289
C-0795,0.68
C-1742,0.045
C-0684,0.009
C-1844,0.001
C-0685,0.167
C-1981,0.263
C-0473,0.084
C-1914,0.567
C-0440,1.134
C-0323,1.6
C-0239,0.852
C-1667,0.072
C-0357,0.55
C-1791,0.081
C-0626,0.15
C-0593,0.372
C-1020,2.415
C-0982,0.577
C-1032,0.489
C-1663,0.4
C-0288,0.007
C-0583,0.101
C-1076,3.4
C-1138,0.639
C-2014,0.24
C-1083,1.693
C-1107,1.337
C-1937,0.004
C-1103,0.227
C-1152,0.675
C-1120,0.925
C-1184,2.634
C-1205,0.023
C-1098,0.046
C-0504,0.112
C-1300,1.734
C-0383,2.892
C-1985,0.153
C-1021,0.086
C-1104,0.312
C-1206,0.005
C-0185,0.064
C-1105,0.111
C-0439,
C-1794,0.045
C-0251,0.041
C-1675,
C-2040,
C-1358,
C-1364,
C-0433,
C-0828,0.036
C-1416,0.01
C-0677,0.156
C-0903,0.528
C-0719,0.125
C-1253,0.094
C-0198,2.82
C-0825,0.151
C-1227,0.002
C-1319,0.152
C-1353,0.569
C-0099,0.219
C-1917,0.05
C-1366,1.64
C-1391,0.75
C-0676,0.56
C-0481,
C-0304,1.035
C-0529,0.19
C-1531,5
C-0446,0.408
C-0620,0.023
C-0627,0.294
C-1561,0.054
C-0470,3.859
C-0149,0.084
C-2038,0.048
C-0317,0.776
C-0293,0.15
C-1748,0.001
C-0834,
C-0252,0.025
C-0835,0.226
C-0876,7.92
C-0800,0.024
C-0924,0.102
C-0913,0.1
C-1671,0.005
C-1508,0.1
C-1679,0.01
C-0582,0.196
C-1858,0.021
C-0814,
C-0514,
C-1664,1.046
C-0743,0.063
C-0553,5.724
C-1571,1.2
C-0745,0.254
C-1341,0.001
C-0654,0.663
C-0472,7.5
C-1383,0.009
C-1563,0.037
C-0744,0.195
C-0294,0.444
C-0123,0.566
C-1258,0.075
C-1861,0.002
C-1972,0.024
C-1509,0.2
C-0382,0.186
C-1228,0.001
C-1939,0.098
C-1922,1
C-0395,0.05
C-1510,0.19
C-1949,
C-0322,0.178
C-0644,0.117
C-0867,0.025
C-1920,0.15
C-1921,1.042
C-1934,0.45
C-1851,0.094
C-0037,0.081
C-0087,7.26
C-0145,0.117
C-1696,0.142
C-0201,0.36
C-0267,0.13
C-1835,0.02
C-0206,1.603
C-0281,0.118
C-0283,0.108
C-0312,0.368
C-0328,0.679
C-1582,0.004
C-0848,1.361
C-0402,2.022
C-1249,0.087
C-0374,0.735
C-1380,0.29
C-0542,0.756
C-0639,0.927
C-1618,0.001
C-0609,0.101
C-0667,
C-0706,1.403
C-0727,2.839
C-0541,0.512
C-0746,0.24
C-1651,
C-0860,0.018
C-0865,0.019
C-1466,0.079
C-0932,0.079
C-1000,0.293
C-1010,0.333
C-1081,0.056
C-0764,1.42
C-1022,0.008
C-0164,0.179
C-1034,4.57
C-0767,0.224
C-0412,0.002
C-1061,0.219
C-1068,0.245
C-1110,0.072
C-1180,0.459
C-0776,0.178
C-1106,0.999
C-1143,0.057
C-1116,0.15
C-0921,0.111
C-1126,0.249
C-1130,0.294
C-1119,0.696
C-1142,0.612
C-1157,1.558
C-1160,0.237
C-1158,0.106
C-1189,0.176
C-1168,0.373
C-0988,0.355
C-1174,0.812
C-1278,2.871
C-1283,3.207
C-1027,0.326
C-1298,0.576
C-1944,0.091
C-1222,0.018
C-1831,0.018
C-1945,0.091
C-0313,1.169
C-0404,10.56
C-1381,0.033
C-0341,0.067
C-1001,0.263
C-0765,0.323
C-1150,0.055
C-0979,0.104
C-1940,0.005
C-1309,0.26
C-1262,0.907
C-1182,0.555
C-1144,0.093
C-1260,0.08
C-1303,1.763
C-1815,0.005
C-1987,0.47
C-0631,2.481
C-0766,0.432
C-1151,0.054
C-1261,0.077
C-0155,0.098
C-1007,0.432
C-1169,0.512
C-1226,0.021
C-0570,0.008
C-0680,1.265
C-1498,0.093
C-0672,0.277
C-0437,
C-0649,1.349
C-0771,1.086
C-0234,0.15
C-0477,0.045
C-0922,0.003
C-0523,
C-0587,3.207
C-0661,0.024
C-0914,0.101
C-1323,0.005
C-0286,0.006
C-1036,1.034
C-1437,1.36
C-0364,0.147
C-0118,
C-0708,0.815
C-1371,0.758
C-0478,0.05
C-1752,0.67
C-0852,0.047
C-1400,0.332
C-0853,0.509
C-0435,0.5
C-0436,0.5
C-1399,0.15
C-0647,0.922
C-1324,0.189
C-1572,
