component_id,straight_component_type_id,straight_bolt_pattern_long,straight_bolt_pattern_wide,straight_head_diameter,straight_overall_length,straight_thickness,straight_mj_class_code,straight_groove,straight_unique_feature,straight_orientation,straight_weight
C-0012,CP-001,66.68,31.75,,40.0,20.0,,No,No,Yes,0.7879999999999999
C-0014,CP-001,47.6,22.2,,38.0,15.0,,Yes,No,Yes,0.33899999999999997
C-0015,CP-001,66.7,31.8,,40.0,20.0,,Yes,No,Yes,0.7879999999999999
C-0019,CP-002,77.8,42.9,,,36.5,MJ-003,No,No,Yes,1.5330000000000001
C-0029,CP-001,47.63,22.23,,,16.0,,Yes,No,Yes,0.28600000000000003
C-0036,CP-003,96.82,44.45,,,36.0,,Yes,No,Yes,1.85
C-0038,CP-004,52.38,,,,16.0,,Yes,No,Yes,0.16899999999999998
C-0046,CP-005,76.2,,,,36.5,MJ-003,Yes,No,Yes,0.38
C-0062,CP-003,96.82,44.45,,,36.0,,No,No,Yes,1.85
C-0079,CP-002,130.18,77.77,,,28.0,MJ-001,Yes,No,Yes,3.09
C-0080,CP-003,50.8,23.8,,,18.0,,No,No,Yes,0.434
C-0081,CP-004,38.1,,,,11.0,,No,No,Yes,0.02
C-0086,CP-003,57.2,27.8,,,21.0,,No,No,Yes,0.65
C-0093,CP-003,58.72,30.18,,,12.0,,No,No,Yes,0.332
C-0110,CP-002,77.8,42.9,,,28.0,MJ-001,Yes,No,Yes,1.097
C-0115,CP-003,52.4,26.19,,,20.0,,No,No,Yes,0.43
C-0122,CP-006,,,44.45,19.05,8.0,,Yes,No,No,0.08
C-0131,CP-003,52.4,26.2,,,40.0,,No,Yes,Yes,0.825
C-0132,CP-006,,,60.32,22.23,8.0,,Yes,No,No,0.25
C-0137,CP-003,58.7,30.2,,,37.0,,No,Yes,Yes,0.5
C-0138,CP-003,77.77,42.88,,,24.5,,No,No,Yes,0.56
C-0141,CP-004,63.5,,,,19.0,,Yes,No,Yes,0.336
C-0142,CP-006,,,54.0,,10.3,,Yes,No,No,0.19
C-0146,CP-004,50.8,,,,9.52,,No,No,Yes,0.127
C-0147,CP-003,58.72,30.18,,,45.0,,Yes,Yes,Yes,1.3
C-0150,CP-003,88.9,50.8,,,16.0,,Yes,No,Yes,0.105
C-0154,CP-002,58.7,30.2,,,36.5,MJ-003,Yes,No,Yes,0.972
C-0156,CP-002,58.72,30.18,,,50.0,MJ-001,Yes,Yes,Yes,1.251
C-0157,CP-002,50.8,23.8,,,36.5,MJ-003,No,No,Yes,0.8009999999999999
C-0158,CP-004,50.8,,,,9.52,,No,No,Yes,0.09699999999999999
C-0162,CP-003,152.4,92.1,,,25.0,,Yes,No,Yes,2.725
C-0166,CP-004,38.1,,,,16.0,,No,No,Yes,0.11
C-0170,CP-004,52.38,,,,16.0,,No,No,Yes,0.09
C-0172,CP-004,57.15,,,,9.27,,No,No,Yes,0.191
C-0174,CP-002,88.9,50.8,,,36.5,MJ-003,No,No,Yes,2.07
C-0190,CP-002,52.37,26.19,,,65.0,MJ-003,No,Yes,Yes,1.035
C-0191,CP-004,94.0,,,,15.8,,Yes,No,Yes,0.40700000000000003
C-0193,CP-003,77.8,42.9,,,24.5,,No,No,Yes,0.625
C-0202,CP-004,92.08,,,,12.5,,Yes,No,Yes,0.278
C-0205,CP-002,58.72,30.18,,,63.0,MJ-003,No,Yes,Yes,0.807
C-0219,CP-001,66.68,31.75,,,25.0,,Yes,Yes,Yes,1.171
C-0220,CP-001,66.7,31.8,,,25.0,,No,Yes,Yes,0.97
C-0221,CP-001,57.15,27.76,,,25.0,,No,Yes,Yes,0.795
C-0229,CP-004,57.2,,,,9.27,,No,No,Yes,0.18
C-0231,CP-004,82.6,,,,6.0,,No,No,Yes,0.23
C-0237,CP-006,,,50.8,,8.0,,Yes,No,No,0.172
C-0244,CP-003,152.4,92.1,,,19.05,,Yes,No,Yes,2.127
C-0246,CP-004,38.1,,,,12.0,,No,No,Yes,0.08
C-0247,CP-003,120.65,69.85,,,24.64,,No,No,Yes,2.25
C-0250,CP-003,130.2,77.8,,,28.0,,No,No,Yes,2.46
C-0268,CP-003,106.4,61.9,,,36.5,,No,No,Yes,2.91
C-0275,CP-003,120.7,69.9,,,36.5,,No,No,Yes,3.2680000000000002
C-0292,CP-004,52.4,,,,12.0,,Yes,No,Yes,0.115
C-0295,CP-004,125.0,,,,15.0,,No,No,Yes,0.53
C-0306,CP-003,106.4,61.9,,,24.6,,No,No,Yes,1.062
C-0325,CP-003,85.7,85.7,,,16.0,,No,No,Yes,1.44
C-0332,CP-006,,,41.28,17.53,8.76,,No,No,No,0.008
C-0333,CP-006,,,53.98,,10.29,,Yes,No,No,0.136
C-0334,CP-006,,,47.63,,9.53,,Yes,No,No,0.10400000000000001
C-0335,CP-006,,,44.45,,8.0,,Yes,No,No,0.09
C-0342,CP-002,57.2,27.8,,,50.0,MJ-003,No,No,Yes,1.589
C-0343,CP-003,52.37,26.19,,,36.0,,No,No,Yes,0.813
C-0344,CP-003,106.38,61.93,,,18.0,,Yes,No,Yes,1.297
C-0359,CP-002,58.7,30.2,,,36.5,MJ-003,No,No,Yes,1.044
C-0360,CP-003,58.72,30.18,,,45.0,,Yes,Yes,Yes,1.325
