component_id,adaptor_adaptor_angle,adaptor_overall_length,adaptor_end_form_id_1,adaptor_connection_type_id_1,adaptor_length_1,adaptor_thread_size_1,adaptor_thread_pitch_1,adaptor_nominal_size_1,adaptor_end_form_id_2,adaptor_connection_type_id_2,adaptor_length_2,adaptor_thread_size_2,adaptor_thread_pitch_2,adaptor_nominal_size_2,adaptor_hex_size,adaptor_unique_feature,adaptor_orientation,adaptor_weight
C-0005,90.0,58.4,A-001,B-001,65.5,1.3119999999999998,12.0,8.73,A-001,B-004,8.73,1.0,11.5,9.52,34.93,N,N,0.206
C-0006,90.0,34.8,A-001,B-001,65.5,0.4370000000000001,20.0,8.73,A-001,B-005,8.73,0.75,16.0,9.52,22.2,N,N,0.083
C-1435,90.0,20.3,A-007,B-004,65.5,0.75,16.0,15.88,A-001,B-007,8.73,0.875,18.0,9.52,22.22,N,N,0.023
C-1546,90.0,26.4,A-007,B-004,65.5,0.125,27.0,8.73,A-001,B-004,8.73,0.125,27.0,9.52,15.88,N,N,0.026
C-1583,90.0,44.5,A-001,B-005,65.5,1.3119999999999998,12.0,8.73,A-007,B-005,8.73,1.062,12.0,9.52,38.1,N,N,0.256
C-1634,90.0,34.5,A-001,B-005,65.5,0.75,16.0,8.73,A-001,B-002,8.73,0.687,16.0,9.52,22.23,N,N,0.06
C-1975,90.0,13.2,A-007,B-007,65.5,0.75,16.0,3.18,A-001,B-007,8.73,0.312,28.0,9.52,22.2,N,N,0.005
C-0428,90.0,26.99,A-001,B-004,65.5,0.25,18.0,8.73,A-007,NONE,8.73,0.687,18.0,9.52,17.46,N,N,0.032
C-0443,90.0,22.35,A-007,B-007,65.5,0.75,16.0,19.05,9999,9999,8.73,1.062,16.0,9.52,26.97,N,N,0.032
C-0823,90.0,16.8,A-007,B-007,65.5,0.75,16.0,9.52,A-001,9999,8.73,0.625,18.0,9.52,15.75,N,N,0.014
C-0354,90.0,36.3,A-001,B-004,65.5,1.25,11.5,8.73,A-007,B-004,8.73,1.0,11.5,9.52,44.45,N,N,0.136
C-0361,90.0,41.0,A-005,NONE,65.5,0.75,16.0,6.35,A-006,B-002,8.73,0.562,18.0,9.52,15.88,N,N,0.005
C-1312,90.0,14.2,A-002,B-007,65.5,0.4370000000000001,24.0,8.73,9999,9999,8.73,0.687,18.0,9.52,11.11,N,N,0.009000000000000001
C-1313,90.0,15.7,A-007,B-007,65.5,0.75,16.0,7.94,A-001,B-007,8.73,0.5,20.0,9.52,12.57,N,N,0.01
C-1194,90.0,15.0,A-007,B-004,65.5,0.125,27.0,8.73,A-007,B-004,8.73,0.125,27.0,9.52,22.2,N,N,0.014
C-1195,90.0,30.0,A-007,B-004,65.5,0.25,18.0,8.73,A-007,B-004,8.73,0.25,18.0,9.52,22.2,Y,N,0.031
C-1196,90.0,40.0,A-007,B-004,65.5,0.5,14.0,8.73,A-007,B-004,8.73,0.5,14.0,9.52,22.2,N,N,0.095
C-1197,90.0,41.0,A-007,B-004,65.5,0.75,14.0,8.73,A-007,B-004,8.73,0.75,14.0,9.52,22.2,N,N,0.091
C-1198,90.0,51.0,A-007,B-004,65.5,1.0,11.5,8.73,A-007,B-004,8.73,1.0,11.5,9.52,22.2,N,N,0.181
C-1229,90.0,18.8,A-007,B-004,65.5,0.75,16.0,12.7,A-001,B-007,8.73,0.75,18.0,9.52,18.92,N,N,0.009000000000000001
C-1230,90.0,14.2,A-007,B-007,65.5,0.75,16.0,4.76,A-001,B-005,8.73,0.375,24.0,9.52,9.4,N,N,0.009000000000000001
C-1695,90.0,30.0,A-001,B-006,65.5,0.75,16.0,8.73,A-007,9999,8.73,0.687,18.0,9.52,25.4,N,N,0.032
C-1812,90.0,35.1,A-007,B-004,65.5,0.375,18.0,8.73,A-007,B-004,8.73,0.375,18.0,9.52,22.2,N,N,0.091
C-1828,90.0,28.4,A-001,B-005,65.5,1.3119999999999998,12.0,8.73,A-007,B-005,8.73,0.562,18.0,9.52,38.1,N,N,0.181
C-1868,90.0,93.5,A-001,B-005,65.5,0.75,16.0,8.73,A-001,B-002,28.0,0.812,16.0,9.52,22.2,N,Y,0.226
