component_id,boss_type,boss_connection_type_id,boss_outside_shape,boss_base_type,boss_height_over_tube,boss_bolt_pattern_long,boss_bolt_pattern_wide,boss_groove,boss_base_diameter,boss_shoulder_diameter,boss_unique_feature,boss_orientation,boss_weight
C-0008,Boss,B-005,Round,Flat Bottom,17.0,77.8,42.9,N,22.0,22.36,Y,Y,0.032
C-0009,Boss,B-004,Round,Flat Bottom,13.0,77.8,42.9,N,25.0,22.36,N,Y,0.033
C-0020,Boss,B-005,Round,Saddle,28.4,77.8,42.9,N,35.0,22.36,Y,Y,0.07
C-0054,Boss,B-005,Round,Saddle,27.1,77.8,42.9,N,28.0,22.36,Y,Y,0.18
C-0071,Boss,B-005,Round,Shoulder,20.0,77.8,42.9,N,30.0,23.0,Y,Y,0.08
C-0082,Boss,B-002,Round,Saddle,15.65,77.8,42.9,N,28.0,22.36,Y,Y,0.043
C-0083,NONE,B-012,NONE,NONE,36.5,77.8,42.9,N,28.0,22.36,N,Y,2.093
C-0084,NONE,B-012,NONE,NONE,36.5,88.9,50.8,N,28.0,22.36,N,Y,2.6010000000000004
C-0111,Boss,B-009,Round,Shoulder,19.0,77.8,42.9,N,35.0,30.0,Y,Y,0.1
C-0117,Boss,B-005,Round,Saddle,22.0,77.8,42.9,N,25.4,22.36,N,Y,0.081
C-0151,Boss,B-005,Round,Saddle,17.9,77.8,42.9,N,28.0,22.36,Y,Y,0.047
C-0161,NONE,9999,NONE,NONE,19.2,76.2,42.9,N,28.0,22.36,N,Y,0.5589999999999999
C-0165,Boss,B-005,Round,Shoulder,12.0,77.8,42.9,N,30.0,25.0,N,Y,0.046
C-0177,Boss,B-005,Round,Saddle,24.0,77.8,42.9,N,28.0,22.36,Y,Y,0.122
C-0199,Boss,B-004,Round,Shoulder,23.6,77.8,42.9,N,33.33,23.9,Y,Y,0.1
C-0208,Stud,B-002,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,N,Y,0.023
C-0209,Stud,B-002,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,N,Y,0.022
C-0213,Stud,B-002,Round,Saddle,22.35,77.8,42.9,N,28.0,22.36,N,Y,0.159
C-0214,Stud,B-002,Round,Saddle,19.05,77.8,42.9,N,28.0,22.36,N,Y,0.059
C-0215,Stud,B-002,Round,Saddle,17.53,77.8,42.9,N,28.0,22.36,N,Y,0.033
