component_id,float_bolt_pattern_long,float_bolt_pattern_wide,float_thickness,float_orientation,float_weight
C-0027,148.0,96.0,18.0,Y,2.23
C-0454,58.72,30.18,28.0,N,0.59
C-0455,58.72,30.18,28.0,N,0.525
C-0494,52.4,26.2,15.85,N,0.23
C-0496,58.8,30.2,14.2,N,0.284
C-0508,77.76,42.88,25.4,Y,1.144
C-0572,69.85,35.71,15.7,N,0.447
C-0797,120.65,69.85,20.0,Y,1.983
C-0891,47.62,22.22,28.0,Y,0.465
C-1096,76.4,69.9,25.0,N,2.565
C-1102,130.2,77.8,36.5,N,4.06
C-1135,116.0,17.0,22.0,Y,1.88
C-1149,52.36,26.19,36.0,Y,0.7829999999999999
C-1452,52.38,26.19,22.0,N,0.276
C-1453,58.72,30.18,22.0,N,0.389
C-1584,106.38,61.93,25.4,N,0.516
