component_id,nut_hex_nut_size,nut_seat_angle,nut_length,nut_thread_size,nut_thread_pitch,nut_diameter,nut_blind_hole,nut_orientation,nut_weight
C-1621,20.64,37.0,17.0,.687,16.0,20.0,NONE,N,0.015
C-1624,34.92,37.0,26.5,1.187,12.0,20.0,NONE,N,0.035
C-1623,28.58,37.0,23.5,1.000,14.0,20.0,NONE,N,0.044
C-1622,23.81,37.0,20.0,.812,16.0,20.0,NONE,N,0.036000000000000004
C-1625,41.28,37.0,27.5,1.437,12.0,20.0,NONE,N,0.129
C-1626,47.63,37.0,27.5,1.687,12.0,20.0,NONE,N,0.154
C-1620,17.46,37.0,15.0,.562,18.0,20.0,NONE,N,0.016
C-1867,57.15,37.0,27.5,2.000,12.0,20.0,NONE,N,0.222
C-2029,23.81,37.0,20.0,.812,16.0,20.0,NONE,N,0.034
C-0579,24.0,37.0,20.0,.812,16.0,20.0,NONE,N,0.157
C-0580,36.0,37.0,26.5,1.187,12.0,20.0,NONE,N,0.109
C-0134,17.46,37.0,15.0,.562,18.0,20.0,NONE,N,0.016
C-0390,23.81,37.0,21.0,.812,16.0,20.0,NONE,N,0.034
C-2027,34.92,37.0,26.5,1.187,12.0,20.0,NONE,N,0.096
C-0337,20.64,37.0,16.0,.687,16.0,20.0,NONE,N,0.022
C-2030,20.64,37.0,17.0,.687,16.0,20.0,NONE,N,0.023
C-2025,47.63,37.0,27.5,1.687,12.0,20.0,NONE,N,0.153
C-1760,41.28,37.0,27.79,1.437,12.0,20.0,NONE,N,0.124
C-2028,28.58,37.0,24.0,1.000,14.0,20.0,NONE,N,0.052000000000000005
C-0102,24.0,37.0,20.0,.812,16.0,20.0,NONE,N,0.027000000000000003
C-1059,28.58,37.0,24.0,1.000,14.0,20.0,NONE,N,0.052000000000000005
C-0097,22.0,37.0,17.0,.687,16.0,20.0,NONE,N,0.027000000000000003
C-2026,41.28,37.0,27.5,1.437,12.0,20.0,NONE,N,0.128
C-0095,30.0,37.0,23.5,1.000,14.0,20.0,NONE,N,0.046
C-0261,47.62,37.0,27.8,1.687,12.0,20.0,NONE,N,0.153
C-0004,15.88,37.0,17.0,.500,20.0,20.0,NONE,N,0.014
C-1202,22.22,45.0,41.28,.750,16.0,20.0,NONE,N,0.045
C-1442,57.15,37.0,36.1,1.875,12.0,20.0,NONE,N,0.343
C-1421,25.4,37.0,24.9,.875,14.0,20.0,NONE,N,0.046
C-0448,22.23,37.0,21.6,.750,16.0,20.0,NONE,N,0.032
C-0336,25.4,37.0,24.6,.875,14.0,20.0,NONE,N,0.045
C-0308,25.4,37.0,24.6,.875,14.0,20.0,NONE,N,0.037000000000000005
C-1952,22.23,45.0,28.448,.750,16.0,20.0,NONE,N,0.045
C-1845,14.29,37.0,15.8,.437,20.0,20.0,NONE,N,0.012
C-1577,34.92,37.0,27.4,1.187,12.0,20.0,NONE,N,0.091
C-1384,31.75,37.0,25.9,1.062,12.0,20.0,NONE,N,0.07400000000000001
C-1200,14.29,45.0,23.81,.437,20.0,20.0,NONE,N,0.025
C-1199,19.05,37.0,52.4,.625,18.0,20.0,NONE,N,0.023
C-0444,38.1,37.0,28.7,1.312,12.0,20.0,NONE,N,0.111
C-0831,50.8,37.0,31.2,1.625,12.0,20.0,NONE,N,0.255
C-1848,31.75,37.0,26.2,1.062,12.0,20.0,NONE,N,0.083
C-1243,17.46,37.0,18.5,.562,18.0,20.0,NONE,N,0.019
C-1927,25.4,37.0,35.0,M10,1.5,20.0,N,N,0.07
C-1964,25.4,37.0,20.0,M10,1.5,20.0,N,N,0.04
C-1969,25.4,37.0,45.0,M10,1.5,20.0,N,N,0.09
C-1966,25.4,37.0,40.0,M12,1.75,10.5,N,N,0.126
C-1963,25.4,37.0,25.0,M10,1.5,20.0,N,N,0.05
C-1694,25.4,37.0,40.0,.375,16.0,30.0,N,N,0.2
C-1318,25.4,37.0,39.0,M10,1.5,20.0,Y,N,0.048
C-0720,25.4,37.0,90.0,M12,1.75,25.0,N,N,0.222
C-0315,25.4,37.0,40.0,.375,16.0,30.0,N,N,0.203
C-1316,25.4,37.0,13.0,.375,16.0,19.0,N,N,0.021
C-0345,25.4,37.0,23.0,M8,1.25,19.0,N,N,0.04
C-1980,25.4,37.0,25.0,M10,1.5,25.0,N,N,0.084
C-1793,25.4,37.0,30.0,M10,1.5,25.0,N,N,0.101
C-1580,25.4,37.0,20.574,.375,16.0,15.875,N,N,0.021
C-0827,25.4,37.0,1.0,.312,18.0,0.625,N,N,0.03
C-1968,25.4,37.0,30.0,M10,1.5,20.0,N,N,0.059
C-1967,25.4,37.0,25.0,M10,1.5,25.0,N,N,0.085
C-0321,25.4,37.0,15.0,M8,1.25,16.0,N,N,0.02
C-1320,25.4,37.0,15.0,M6,1.0,12.0,N,N,0.011
C-1965,25.4,37.0,58.5,M10,1.5,20.0,N,N,0.11
C-0035,25.4,37.0,12.0,.250,20.0,12.0,N,N,0.009000000000000001
C-1530,25.4,37.0,22.225,.500,13.0,25.4,N,N,0.067
C-1962,25.4,37.0,21.0,M10,1.5,25.0,N,N,0.071
