component_id,straight_bolt_pattern_long,straight_bolt_pattern_wide,straight_head_diameter,straight_overall_length,straight_thickness,straight_mj_class_code,straight_groove,straight_unique_feature,straight_orientation,straight_weight
C-0012,66.68,31.75,50.8,40.0,20.0,NONE,N,N,Y,0.7879999999999999
C-0014,47.6,22.2,50.8,38.0,15.0,NONE,Y,N,Y,0.339
C-0015,66.7,31.8,50.8,40.0,20.0,NONE,Y,N,Y,0.7879999999999999
C-0019,77.8,42.9,50.8,28.0,36.5,MJ-003,N,N,Y,1.533
C-0029,47.63,22.23,50.8,28.0,16.0,NONE,Y,N,Y,0.28600000000000003
C-0036,96.82,44.45,50.8,28.0,36.0,NONE,Y,N,Y,1.85
C-0038,52.38,31.8,50.8,28.0,16.0,NONE,Y,N,Y,0.16899999999999998
C-0046,76.2,31.8,50.8,28.0,36.5,MJ-003,Y,N,Y,0.38
C-0062,96.82,44.45,50.8,28.0,36.0,NONE,N,N,Y,1.85
C-0079,130.18,77.77,50.8,28.0,28.0,MJ-001,Y,N,Y,3.09
C-0080,50.8,23.8,50.8,28.0,18.0,NONE,N,N,Y,0.434
C-0081,38.1,31.8,50.8,28.0,11.0,NONE,N,N,Y,0.02
C-0086,57.2,27.8,50.8,28.0,21.0,NONE,N,N,Y,0.65
C-0093,58.72,30.18,50.8,28.0,12.0,NONE,N,N,Y,0.332
C-0110,77.8,42.9,50.8,28.0,28.0,MJ-001,Y,N,Y,1.097
C-0115,52.4,26.19,50.8,28.0,20.0,NONE,N,N,Y,0.43
C-0122,66.68,31.8,44.45,19.05,8.0,NONE,Y,N,N,0.08
C-0131,52.4,26.2,50.8,28.0,40.0,NONE,N,Y,Y,0.825
C-0132,66.68,31.8,60.32,22.23,8.0,NONE,Y,N,N,0.25
C-0137,58.7,30.2,50.8,28.0,37.0,NONE,N,Y,Y,0.5
C-0138,77.77,42.88,50.8,28.0,24.5,NONE,N,N,Y,0.56
C-0141,63.5,31.8,50.8,28.0,19.0,NONE,Y,N,Y,0.336
C-0142,66.68,31.8,54.0,28.0,10.3,NONE,Y,N,N,0.19
C-0146,50.8,31.8,50.8,28.0,9.52,NONE,N,N,Y,0.127
C-0147,58.72,30.18,50.8,28.0,45.0,NONE,Y,Y,Y,1.3
C-0150,88.9,50.8,50.8,28.0,16.0,NONE,Y,N,Y,0.105
C-0154,58.7,30.2,50.8,28.0,36.5,MJ-003,Y,N,Y,0.972
C-0156,58.72,30.18,50.8,28.0,50.0,MJ-001,Y,Y,Y,1.251
