component_id,threaded_adaptor_angle,threaded_overall_length,threaded_hex_size,threaded_end_form_id_1,threaded_connection_type_id_1,threaded_length_1,threaded_thread_size_1,threaded_thread_pitch_1,threaded_nominal_size_1,threaded_end_form_id_2,threaded_connection_type_id_2,threaded_length_2,threaded_thread_size_2,threaded_thread_pitch_2,threaded_nominal_size_2,threaded_end_form_id_3,threaded_connection_type_id_3,threaded_length_3,threaded_thread_size_3,threaded_thread_pitch_3,threaded_nominal_size_3,threaded_end_form_id_4,threaded_connection_type_id_4,threaded_length_4,threaded_thread_size_4,threaded_thread_pitch_4,threaded_nominal_size_4,threaded_unique_feature,threaded_orientation,threaded_weight
C-0007,90.0,24.4,12.7,A-001,B-001,37.3,0.4370000000000001,20.0,25.4,A-004,NONE,35.5,1.187,12.0,6.35,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.028
C-0030,90.0,38.5,31.75,A-003,NONE,47.0,1.0,14.0,42,A-003,NONE,47.0,1.187,12.0,42.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.914
C-0041,90.0,28.0,32.0,A-004,NONE,37.3,1.0,14.0,21.7,A-001,B-002,35.5,0.812,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.12
C-0043,90.0,38.0,27.0,A-003,NONE,37.3,1.0,14.0,21.7,A-001,B-002,35.5,0.812,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.09
C-0044,90.0,30.5,41.28,A-004,NONE,37.3,1.0,14.0,34,A-001,B-002,35.5,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.182
C-0069,90.0,38.5,31.75,A-001,B-002,29.0,0.812,16.0,25.4,A-004,NONE,16.0,1.187,12.0,17.3,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,Y,0.21600000000000005
C-0070,90.0,38.5,31.75,A-003,NONE,30.0,1.0,14.0,21.7,A-001,B-002,27.0,0.812,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.17800000000000002
C-0072,90.0,38.5,31.75,A-003,NONE,30.0,1.0,14.0,21.7,A-001,B-002,33.5,1.0,14.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.29
C-0073,90.0,38.5,31.75,A-004,NONE,21.0,1.0,14.0,22.22,A-001,B-002,35.0,1.0,14.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.537
C-0074,90.0,40.5,27.0,A-003,NONE,37.3,1.0,14.0,21.7,A-001,B-002,35.5,1.0,14.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.134
