tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00002,S-0066,2013-07-07,0,0,Yes,1,21.90593302
TA-00002,S-0066,2013-07-07,0,0,Yes,2,12.34121398
TA-00002,S-0066,2013-07-07,0,0,Yes,5,6.601826144
TA-00002,S-0066,2013-07-07,0,0,Yes,10,4.687769512
TA-00002,S-0066,2013-07-07,0,0,Yes,25,3.54156118
TA-00002,S-0066,2013-07-07,0,0,Yes,50,3.224406448
TA-00002,S-0066,2013-07-07,0,0,Yes,100,3.082521436
TA-00002,S-0066,2013-07-07,0,0,Yes,250,2.999059664
TA-00004,S-0066,2013-07-07,0,0,Yes,1,21.97270244
TA-00004,S-0066,2013-07-07,0,0,Yes,2,12.4079834
TA-00004,S-0066,2013-07-07,0,0,Yes,5,6.668595561
TA-00004,S-0066,2013-07-07,0,0,Yes,10,4.754538929
TA-00004,S-0066,2013-07-07,0,0,Yes,25,3.608330598
TA-00004,S-0066,2013-07-07,0,0,Yes,50,3.291175865
TA-00004,S-0066,2013-07-07,0,0,Yes,100,3.149290853
TA-00004,S-0066,2013-07-07,0,0,Yes,250,3.065829081
TA-00005,S-0066,2013-09-01,0,0,Yes,1,28.37422033
TA-00005,S-0066,2013-09-01,0,0,Yes,2,16.51430257
TA-00005,S-0066,2013-09-01,0,0,Yes,5,9.397795496
TA-00005,S-0066,2013-09-01,0,0,Yes,10,7.027481179
TA-00005,S-0066,2013-09-01,0,0,Yes,25,5.603066942
TA-00005,S-0066,2013-09-01,0,0,Yes,50,5.19410426
TA-00005,S-0066,2013-09-01,0,0,Yes,100,5.007706304
TA-00005,S-0066,2013-09-01,0,0,Yes,250,4.896423941
TA-00012,S-0066,2013-08-11,0,0,Yes,1,22.41504983
TA-00012,S-0066,2013-08-11,0,0,Yes,2,12.85033079
TA-00012,S-0066,2013-08-11,0,0,Yes,5,7.11372501
TA-00012,S-0066,2013-08-11,0,0,Yes,10,5.199668379
TA-00012,S-0066,2013-08-11,0,0,Yes,25,4.050677988
TA-00012,S-0066,2013-08-11,0,0,Yes,50,3.736305314
