tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8,comp_type_count,comp_total_count,tube_volume,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10,spec_type_count
TA-00001,SP-0035,12.7,1.65,164.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,C-1622,2.0,C-1629,2.0,,,,,,,,,,,,,2,4.0,5047.557646614552,,,,,,,,,,,0
TA-00002,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,915.9841954505008,,,,,,,,,,,0
TA-00003,SP-0019,6.35,0.71,127.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,849.1240351986395,,,,,,,,,,,0
TA-00004,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,915.9841954505008,,,,,,,,,,,0
TA-00005,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,C-1624,1.0,C-1631,1.0,C-1641,1.0,,,,,,,,,,,3,3.0,3912.85176509049,,,,,,,,,,,0
TA-00006,SP-0029,19.05,1.24,79.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,C-1624,1.0,C-1631,1.0,C-1641,1.0,,,,,,,,,,,3,3.0,2835.920086625217,,,,,,,,,,,0
TA-00007,SP-0035,12.7,1.65,202.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,C-1622,2.0,C-1629,2.0,,,,,,,,,,,,,2,4.0,6217.113686683778,,,,,,,,,,,0
TA-00008,SP-0039,6.35,0.71,174.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,1163.366788382388,,,,,,,,,,,0
TA-00009,SP-0029,25.4,1.65,135.0,4,63.5,N,N,N,N,EF-003,EF-003,0,0,0,C-1625,2.0,C-1632,2.0,,,,,,,,,,,,,2,4.0,8598.66672007681,,,,,,,,,,,0
TA-00010,SP-0046,42.7,4.8,290.0,4,110.0,N,N,N,N,EF-021,EF-021,0,0,0,C-1768,2.0,,,,,,,,,,,,,,,1,2.0,88117.9040220093,,,,,,,,,,,0
TA-00011,SP-0039,6.35,0.71,197.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,1317.1451569616693,,,,,,,,,,,0
TA-00012,SP-0039,6.35,0.71,207.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,1384.0053172135306,,,,,,,,,,,0
TA-00013,SP-0028,38.1,1.65,106.0,3,76.2,N,N,N,N,NONE,NONE,1,0,0,C-1259,1.0,,,,,,,,,,,,,,,1,1.0,10240.645645915809,SP-0004,SP-0069,SP-0080,,,,,,,,3
TA-00014,SP-0029,12.7,0.89,96.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0,C-1622,2.0,C-1629,2.0,,,,,,,,,,,,,2,4.0,1644.7293116674184,,,,,,,,,,,0
TA-00015,SP-0035,12.7,0.89,147.0,6,25.4,N,N,N,N,EF-018,EF-018,0,0,0,C-0448,2.0,C-0449,2.0,,,,,,,,,,,,,2,4.0,2518.491758490735,SP-0063,SP-0069,SP-0080,,,,,,,,3
TA-00016,SP-0029,25.4,1.65,99.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,C-1349,1.0,C-1934,1.0,,,,,,,,,,,,,2,2.0,6305.688928056327,,,,,,,,,,,0
TA-00017,SP-0029,25.4,1.65,92.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0,C-1349,1.0,C-1933,1.0,,,,,,,,,,,,,2,2.0,5859.832135163456,,,,,,,,,,,0
TA-00018,SP-0028,25.4,1.65,81.0,3,63.5,N,N,N,N,EF-003,EF-009,0,0,0,C-1555,1.0,,,,,,,,,,,,,,,1,1.0,5159.200032046086,SP-0007,SP-0058,SP-0070,SP-0080,,,,,,,4
TA-00019,SP-0028,50.8,2.11,84.0,2,127.0,N,Y,N,N,EF-005,EF-017,0,0,0,,,,,,,,,,,,,,,,,0,0.0,13849.4030231113,SP-0080,,,,,,,,,,1
TA-00020,SP-0041,6.35,2.375,81.0,9,19.05,N,N,N,N,NONE,NONE,0,0,0,C-1369,2.0,C-1374,2.0,,,,,,,,,,,,,2,4.0,1560.014282633006,SP-0057,SP-0067,SP-0080,,,,,,,,3
TA-00021,SP-0041,6.35,2.375,81.0,6,19.05,N,N,N,N,NONE,NONE,0,0,0,C-1369,2.0,C-1374,2.0,,,,,,,,,,,,,2,4.0,1560.014282633006,SP-0057,SP-0067,SP-0080,,,,,,,,3
TA-00022,SP-0039,12.7,0.89,101.0,6,25.4,N,N,N,N,EF-008,EF-008,0,0,0,C-1229,2.0,,,,,,,,,,,,,,,1,2.0,1730.3922966500968,SP-0012,SP-0026,SP-0063,SP-0080,,,,,,,4
TA-00023,SP-0039,9.52,0.71,52.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-0823,2.0,,,,,,,,,,,,,,,1,2.0,531.5131805309786,,,,,,,,,,,0
TA-00024,SP-0039,9.52,0.71,99.0,2,31.75,N,N,N,N,EF-008,EF-008,0,0,0,C-0823,2.0,,,,,,,,,,,,,,,1,2.0,1011.91932447244,,,,,,,,,,,0
TA-00025,SP-0039,9.52,0.71,65.0,3,31.75,N,N,N,N,EF-008,EF-008,0,0,0,C-0823,2.0,,,,,,,,,,,,,,,1,2.0,664.3914756637232,,,,,,,,,,,0
TA-00026,SP-0028,25.4,1.65,48.0,2,50.8,N,N,Y,Y,EF-009,EF-003,0,0,0,C-1555,1.0,,,,,,,,,,,,,,,1,1.0,3057.303722693977,,,,,,,,,,,0
TA-00027,SP-0035,6.35,0.89,105.0,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0,C-1845,2.0,C-1846,2.0,,,,,,,,,,,,,2,4.0,866.8003633436949,,,,,,,,,,,0
TA-00028,SP-0028,12.7,1.65,104.0,3,127.0,N,N,N,N,EF-003,NONE,1,0,0,C-1970,1.0,,,,,,,,,,,,,,,1,1.0,3200.8902149263013,SP-0007,SP-0070,SP-0080,,,,,,,,3
TA-00029,SP-0035,15.88,1.24,94.0,2,50.8,N,N,N,N,EF-018,EF-017,0,0,0,C-1420,1.0,C-1421,1.0,,,,,,,,,,,,,2,2.0,2793.9842229295145,,,,,,,,,,,0
